,x,countif
SRR3349301,4,6
SRR3349310,34,6
SRR3349811,34,6
SRR3349843,34,6
SRR3349898,34,6
SRR3349901,34,6
SRR3349904,34,6
SRR3349211,24,7
SRR3349274,24,7
SRR3349298,24,7
SRR3349318,24,7
SRR3349526,24,7
SRR3349585,24,7
SRR3350151,24,7
SRR3343483,1,8
SRR3343533,1,8
SRR3343556,1,8
SRR3343631,1,8
SRR3343642,1,8
SRR3349625,1,8
SRR3349644,1,8
SRR3349682,1,8
SRR3349516,36,9
SRR3349570,36,9
SRR3349607,36,9
SRR3349617,36,9
SRR3349632,36,9
SRR3349666,36,9
SRR3349684,36,9
SRR3349685,36,9
SRR3349695,36,9
SRR3350121,95,9
SRR3350127,95,9
SRR3350162,95,9
SRR3350184,95,9
SRR3350196,95,9
SRR3350232,95,9
SRR3357094,95,9
SRR3357316,95,9
SRR3357352,95,9
SRR3349543,39,10
SRR3349581,39,10
SRR3349583,39,10
SRR3349626,39,10
SRR3349706,39,10
SRR3349707,39,10
SRR3349717,39,10
SRR3350171,39,10
SRR3350192,39,10
SRR3350272,39,10
SRR3343495,6,12
SRR3343496,6,12
SRR3343506,6,12
SRR3343550,6,12
SRR3343558,6,12
SRR3343575,6,12
SRR3343577,6,12
SRR3343578,6,12
SRR3343601,6,12
SRR3343612,6,12
SRR3343630,6,12
SRR3343657,6,12
SRR3349142,18,12
SRR3349149,18,12
SRR3349179,18,12
SRR3349180,18,12
SRR3349208,18,12
SRR3349235,18,12
SRR3349240,18,12
SRR3349247,18,12
SRR3349293,18,12
SRR3349297,18,12
SRR3349315,18,12
SRR3349333,18,12
SRR3361021,133,12
SRR3361073,133,12
SRR3361110,133,12
SRR3361132,133,12
SRR3361152,133,12
SRR3361158,133,12
SRR3361214,133,12
SRR3361236,133,12
SRR3361271,133,12
SRR3361274,133,12
SRR3361276,133,12
SRR3361278,133,12
SRR3349143,19,13
SRR3349150,19,13
SRR3349213,19,13
SRR3349217,19,13
SRR3349221,19,13
SRR3349224,19,13
SRR3349233,19,13
SRR3349256,19,13
SRR3349265,19,13
SRR3349314,19,13
SRR3349317,19,13
SRR3349324,19,13
SRR3349342,19,13
SRR3349241,28,14
SRR3349580,28,14
SRR3349637,28,14
SRR3350198,28,14
SRR3350257,28,14
SRR3350275,28,14
SRR3357161,28,14
SRR3357306,28,14
SRR3357355,28,14
SRR3360966,28,14
SRR3361003,28,14
SRR3361136,28,14
SRR3361257,28,14
SRR3361299,28,14
SRR3343489,3,20
SRR3343497,3,20
SRR3343511,3,20
SRR3343512,3,20
SRR3343531,3,20
SRR3343542,3,20
SRR3343544,3,20
SRR3343545,3,20
SRR3343565,3,20
SRR3343576,3,20
SRR3343581,3,20
SRR3343587,3,20
SRR3343610,3,20
SRR3343623,3,20
SRR3343636,3,20
SRR3343640,3,20
SRR3343659,3,20
SRR3343665,3,20
SRR3349228,3,20
SRR3361259,3,20
SRR3349278,33,23
SRR3349338,33,23
SRR3349339,33,23
SRR3349344,33,23
SRR3349567,33,23
SRR3349597,33,23
SRR3350092,33,23
SRR3350096,33,23
SRR3350099,33,23
SRR3350102,33,23
SRR3350129,33,23
SRR3350170,33,23
SRR3350201,33,23
SRR3350211,33,23
SRR3350216,33,23
SRR3350229,33,23
SRR3350231,33,23
SRR3350242,33,23
SRR3350250,33,23
SRR3350267,33,23
SRR3350268,33,23
SRR3357140,33,23
SRR3357244,33,23
SRR3343484,2,34
SRR3343507,2,34
SRR3343517,2,34
SRR3343521,2,34
SRR3343613,2,34
SRR3343620,2,34
SRR3349141,2,34
SRR3349154,2,34
SRR3349170,2,34
SRR3349174,2,34
SRR3349181,2,34
SRR3349190,2,34
SRR3349212,2,34
SRR3349214,2,34
SRR3349222,2,34
SRR3349223,2,34
SRR3349238,2,34
SRR3349239,2,34
SRR3349257,2,34
SRR3349260,2,34
SRR3349263,2,34
SRR3349267,2,34
SRR3349279,2,34
SRR3349285,2,34
SRR3349287,2,34
SRR3349300,2,34
SRR3349312,2,34
SRR3349313,2,34
SRR3349336,2,34
SRR3349340,2,34
SRR3349347,2,34
SRR3349520,2,34
SRR3349532,2,34
SRR3349620,2,34
